bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,APSRTC - 9061,Express(Non AC Seater),21:45,03h 25m,01:10,4.0,469.0,31 Seats available
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,APSRTC - 5524,Express(Non AC Seater),22:45,04h 10m,02:55,4.1,720.0,42 Seats available
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,APSRTC - 9080,Express(Non AC Seater),23:15,03h 25m,02:40,4.6,448.0,32 Seats available
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,APSRTC - 5528,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:59,05h 16m,05:15,4.3,720.0,25 Seats available
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,Electric A/C Seater (2+2),23:20,05h 25m,04:45,4.0,720.0,29 Seats available
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),23:21,04h 37m,03:58,4.5,469.0,32 Seats available
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,RK Travels,Non A/C Seater / Sleeper (2+1),23:50,04h 30m,04:20,2.7,720.0,40 Seats available
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Varsha Travels,A/C Sleeper (2+1),23:30,06h 00m,05:30,3.4,567.0,32 Seats available
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,SRI VARAHA TOURS AND TRAVELS,A/C Sleeper (2+1),23:45,05h 45m,05:30,5.0,720.0,39 Seats available
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Sai Sindhu Travels,NON A/C Sleeper (2+1),01:00,04h 00m,05:00,3.8,720.0,44 Seats available
Tirupati to Bangalore Bus,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,APSRTC - 5524,Express(Non AC Seater),20:45,06h 10m,02:55,2.3,720.0,40 Seats available
Tirupati to Bangalore Bus,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,APSRTC - 9080,Express(Non AC Seater),21:15,05h 25m,02:40,3.0,720.0,48 Seats available
Tirupati to Bangalore Bus,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,APSRTC - 5504,SAPTAGIRI EXPRESS,21:45,06h 00m,03:45,4.6,469.0,32 Seats available
Tirupati to Bangalore Bus,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,APSRTC - 5314,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,05h 35m,04:05,3.7,528.0,3 Seats available
Tirupati to Bangalore Bus,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,APSRTC - 5528,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,06h 00m,04:30,4.4,469.0,29 Seats available
