bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Patna to Motihari Bus,https://www.redbus.in/bus-tickets/patna-to-motihari,Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater (2+2),21:20,03h 40m,01:00,4,150,44 Seats available
Patna to Motihari Bus,https://www.redbus.in/bus-tickets/patna-to-motihari,Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),15:30,04h 00m,19:30,2.2,155,29 Seats available
Patna to Motihari Bus,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:00,06h 00m,04:00,4.5,150,44 Seats available
Patna to Motihari Bus,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,04h 55m,03:15,3.1,150,46 Seats available
Patna to Motihari Bus,https://www.redbus.in/bus-tickets/patna-to-motihari,Panwar Travels,A/C Seater / Sleeper (2+1),18:10,03h 25m,21:35,2.7,155,34 Seats available
Patna to Motihari Bus,https://www.redbus.in/bus-tickets/patna-to-motihari,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,03h 02m,23:30,1.1,150,48 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,06h 40m,05:00,3.6,150,49 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,05h 20m,04:00,3.4,155,39 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,05h 32m,02:00,2,300,9 Seats available
Patna to Bettiah Bus,https://www.redbus.in/bus-tickets/patna-to-bettiah,V.I.P Travels,A/C Seater / Sleeper (2+2),21:40,06h 00m,03:40,2.8,150,52 Seats available
Bettiah to Patna Bus,https://www.redbus.in/bus-tickets/bettiah-to-patna,Bihar state road transport corporation (BSRTC) - 170674,Non AC Seater (2+2),20:30,05h 30m,02:00,2.3,155,32 Seats available
Bettiah to Patna Bus,https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:00,07h 00m,05:00,3.1,150,51 Seats available
Bettiah to Patna Bus,https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:00,17h 45m,08:45,1,155,33 Seats available
Bettiah to Patna Bus,https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:00,06h 00m,21:00,1,150,50 Seats available
Bettiah to Patna Bus,https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:15,06h 05m,21:20,1,300,26 Seats available
Bettiah to Patna Bus,https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:21,06h 24m,21:45,1,150,42 Seats available
Bettiah to Patna Bus,https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:30,06h 45m,22:15,1,300,13 Seats available
Bettiah to Patna Bus,https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),15:37,06h 38m,22:15,1,155,32 Seats available
Bettiah to Patna Bus,https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),21:55,07h 36m,05:31,2.5,150,49 Seats available
Gopalganj (Bihar) to Delhi Bus,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,ROYAL TRAVELS AND CARGO,A/C Seater / Sleeper (2+2),17:30,15h 00m,08:30,1.9,150,46 Seats available
Gopalganj (Bihar) to Delhi Bus,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Travel Point World LLP,A/C Seater / Sleeper (2+2),20:20,14h 30m,10:50,2.2,150,52 Seats available
Gopalganj (Bihar) to Delhi Bus,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Panwar tour and Travels,A/C Seater / Sleeper (2+1),15:40,17h 50m,09:30,1.7,300,37 Seats available
Gopalganj (Bihar) to Delhi Bus,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Armaan Tour & Travels,A/C Seater / Sleeper (2+1),16:50,20h 10m,13:00,2.6,150,45 Seats available
Gopalganj (Bihar) to Delhi Bus,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Jay Maa Kali Travels,Bharat Benz A/C Seater / Sleeper (2+2),16:00,16h 30m,08:30,1.9,150,51 Seats available
Gopalganj (Bihar) to Delhi Bus,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Panwar tour and Travels,A/C Seater / Sleeper (2+1),15:40,17h 50m,09:30,1.7,150,52 Seats available
Gopalganj (Bihar) to Delhi Bus,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Singh Express Bus Service,A/C Seater / Sleeper (2+2),15:00,19h 00m,10:00,1.8,155,35 Seats available
Gopalganj (Bihar) to Delhi Bus,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Shree Balajee Travels And Cargo,A/C Seater / Sleeper (2+2),20:00,18h 30m,14:30,1.3,150,51 Seats available
Gopalganj (Bihar) to Delhi Bus,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),17:30,15h 30m,09:00,1.2,150,51 Seats available
Gopalganj (Bihar) to Delhi Bus,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),18:15,13h 45m,08:00,1.2,155,47 Seats available
Gopalganj (Bihar) to Delhi Bus,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),18:15,13h 55m,08:10,1.2,150,52 Seats available
Gopalganj (Bihar) to Delhi Bus,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,New Travel India,A/C Seater / Sleeper (2+1),17:35,14h 55m,08:30,1.2,150,52 Seats available
Balmiki Nagar (bihar) to Patna Bus,https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),18:30,10h 30m,05:00,2.2,155,40 Seats available
Patna to Katihar Bus,https://www.redbus.in/bus-tickets/patna-to-katihar,Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,09h 05m,06:30,3.6,155,42 Seats available
Patna to Katihar Bus,https://www.redbus.in/bus-tickets/patna-to-katihar,Sri Krishna Rath,A/C Seater / Sleeper (2+2),21:00,09h 05m,06:05,1.5,150,52 Seats available
Patna to Katihar Bus,https://www.redbus.in/bus-tickets/patna-to-katihar,Sri Krishna Rath,A/C Seater / Sleeper (2+2),20:00,09h 05m,05:05,1.5,150,52 Seats available
Patna to Katihar Bus,https://www.redbus.in/bus-tickets/patna-to-katihar,Sri Krishna Rath,A/C Seater / Sleeper (2+2),19:00,09h 05m,04:05,2.2,150,51 Seats available
Motihari to Delhi Bus,https://www.redbus.in/bus-tickets/motihari-to-delhi,Travel Point World LLP,A/C Seater / Sleeper (2+2),18:20,16h 30m,10:50,1.6,155,40 Seats available
Patna to Balmiki Nagar (bihar) Bus,https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,09h 32m,06:00,1.7,150,49 Seats available
Patna to Balmiki Nagar (bihar) Bus,https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,08h 20m,07:00,1.8,155,50 Seats available
Delhi to Motihari Bus,https://www.redbus.in/bus-tickets/delhi-to-motihari,Bihar state road transport corporation (BSRTC) - 117806,Volvo AC Seater 2+2,17:00,17h 00m,10:00,3.9,150,50 Seats available
Delhi to Motihari Bus,https://www.redbus.in/bus-tickets/delhi-to-motihari,Travel Point World LLP,A/C Seater / Sleeper (2+2),16:00,16h 01m,08:01,1.2,150,51 Seats available
Delhi to Motihari Bus,https://www.redbus.in/bus-tickets/delhi-to-motihari,New India Bus Service,A/C Seater / Sleeper (2+2),15:30,17h 30m,09:00,1,155,52 Seats available
Delhi to Motihari Bus,https://www.redbus.in/bus-tickets/delhi-to-motihari,Rajdhani Express,A/C Seater / Sleeper (2+2),16:00,18h 00m,10:00,1.2,150,50 Seats available
Delhi to Motihari Bus,https://www.redbus.in/bus-tickets/delhi-to-motihari,Maa kali Travels,A/C Seater / Sleeper (2+2),17:15,19h 30m,12:45,1,150,49 Seats available
