bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,seat_availability,price
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 551,A/C Executive (2+3),15:30,10h 00m,01:30,2.6,27 Seats available,892
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 525,Ordinary 3+2 Non AC Seater,16:50,10h 10m,03:00,4.1,20 Seats available,892
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,10h 16m,04:15,3,42 Seats available,507
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,09h 15m,04:50,4.5,37 Seats available,507
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,09h 47m,05:30,3.9,13 Seats available,892
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 591,A/C Executive (2+3),21:00,10h 20m,07:20,3.2,33 Seats available,507
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,09h 28m,06:30,4.4,37 Seats available,507
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 570,Ordinary 3+2 Non AC Seater,21:25,09h 20m,06:45,3.2,27 Seats available,507
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,22:00,09h 30m,07:30,3.9,27 Seats available,507
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 579,Ordinary 3+2 Non AC Seater,22:30,09h 45m,08:15,4.4,35 Seats available,507
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,23:00,08h 50m,07:50,4.2,19 Seats available,892
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 564,Ordinary 3+2 Non AC Seater,23:40,09h 25m,09:05,4.2,27 Seats available,507
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2),23:00,09h 00m,08:00,4.8,20 Seats available,507
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08h 30m,08:00,4.5,19 Seats available,892
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:25,08h 20m,07:45,4.4,37 Seats available,507
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:35,09h 35m,08:10,4.6,24 Seats available,867
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),23:00,08h 40m,07:40,4.5,27 Seats available,507
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,Deltin Travels Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08h 30m,08:00,4.1,21 Seats available,892
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,VT Bus,Scania Multi-Axle AC Semi Sleeper (2+2),22:35,09h 35m,08:10,4.3,27 Seats available,867
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,Here Bus,Bharat Benz A/C Seater (2+2),23:45,08h 00m,07:45,4.1,26 Seats available,507
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,07h 30m,06:00,3.7,28 Seats available,892
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:55,07h 30m,07:25,3.5,37 Seats available,507
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,Metahills holidays,Scania A/C Semi Sleeper (2+2),22:30,08h 30m,07:00,3.3,30 Seats available,1103
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,Royal Safari India Travels,Bharat Benz A/C Semi Sleeper (2+2),23:00,09h 00m,08:00,1.8,33 Seats available,500
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,Yolo Bus,Bharat Benz A/C Semi Sleeper (2+2),22:30,09h 33m,08:03,2.8,41 Seats available,474
Delhi to Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:00,10h 30m,07:30,1.8,25 Seats available,619
Shimla to Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 103,Ordinary 3+2 Non AC Seater,17:18,08h 57m,02:15,2.2,25 Seats available,523
Shimla to Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 181,Ordinary 3+2 Non AC Seater,17:50,10h 25m,04:15,3.8,25 Seats available,473
Shimla to Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 104,A/C Executive (2+3),18:20,10h 10m,04:30,3.5,34 Seats available,648
Shimla to Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 188,Ordinary 3+2 Non AC Seater,19:25,09h 32m,04:57,3.3,28 Seats available,522
Shimla to Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 2040093,Ordinary 3+2 Non AC Seater,19:40,09h 32m,05:12,4,47 Seats available,495
Shimla to Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 74,Himsuta AC Seater Volvo/Scania 2+2,20:00,09h 00m,05:00,4.3,39 Seats available,630
Shimla to Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 1711,Ordinary 3+2 Non AC Seater,20:00,09h 30m,05:30,4.6,44 Seats available,523
Shimla to Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 3,Himsuta AC Seater Volvo/Scania 2+2,21:00,09h 00m,06:00,4.4,39 Seats available,648
Shimla to Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 108,A/C Executive (2+3),21:20,09h 32m,06:52,3.6,33 Seats available,1500
Shimla to Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 1712,Ordinary 3+2 Non AC Seater,21:30,08h 30m,06:00,3.3,32 Seats available,565
Shimla to Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 130,Ordinary 3+2 Non AC Seater,21:45,08h 30m,06:15,4.1,22 Seats available,988
Shimla to Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 179,Ordinary 3+2 Non AC Seater,22:00,08h 30m,06:30,4,14 Seats available,619
