bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Patiala  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67142,Volvo AC Seater (2+2),16:00,06h 09m,22:09,4.4,150,44 Seats available
Patiala  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67142,Volvo AC Seater (2+2),16:00,06h 40m,22:40,3.8,155,29 Seats available
Patiala  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66687,Volvo AC Seater (2+2),18:10,06h 09m,00:19,3.7,150,44 Seats available
Patiala  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),18:00,07h 00m,01:00,4.2,150,46 Seats available
Patiala  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),18:00,08h 00m,02:00,4.2,155,34 Seats available
Patiala  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,A/C Semi Sleeper (2+2),20:00,07h 00m,03:00,4.2,150,48 Seats available
Patiala  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),22:00,07h 00m,05:00,4.2,150,49 Seats available
Delhi  (punjab) to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66667,Volvo AC Seater (2+2),17:31,04h 59m,22:30,4,155,39 Seats available
Delhi  (punjab) to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),23:30,07h 00m,06:30,4.2,300,9 Seats available
Delhi  (punjab) to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),19:30,07h 00m,02:30,4.2,150,52 Seats available
Delhi  (punjab) to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),22:00,07h 00m,05:00,4.2,155,32 Seats available
Delhi  (punjab) to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,A/C Semi Sleeper (2+2),21:00,07h 00m,04:00,4.2,150,51 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,08h 15m,04:05,4.6,155,33 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,07h 35m,03:25,4,150,50 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,08h 00m,04:50,3.7,300,26 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,07h 00m,03:50,4,150,42 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67164,Volvo AC Seater (2+2),21:50,05h 59m,03:49,4.3,300,13 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67164,Volvo AC Seater (2+2),21:50,08h 00m,05:50,4.8,155,32 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,05h 51m,04:18,4.5,150,49 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,NueGo,Electric A/C Seater (2+2),23:15,05h 50m,05:05,4.1,150,46 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,06h 20m,06:15,4.7,150,52 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,AdArmaan Tour & Travels,A/C Seater / Sleeper (2+1),22:50,07h 10m,06:00,3.3,300,37 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:55,06h 50m,06:45,4.3,150,45 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,New Navyug Travels,A/C Sleeper (2+1),23:00,06h 30m,05:30,4.4,150,51 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,06h 50m,06:40,4.7,150,52 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:10,06h 40m,05:50,4.3,155,35 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),17:29,08h 31m,02:00,4.2,150,51 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),17:29,07h 31m,01:00,4.2,150,51 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Indo Canadian Transport Company,A/C Semi Sleeper (2+2),19:29,07h 31m,03:00,4.2,155,47 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),21:29,07h 31m,05:00,4.2,150,52 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),23:05,06h 10m,05:15,4.5,150,52 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:10,07h 10m,06:20,4.7,155,40 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:58,06h 07m,06:05,5,155,42 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),23:29,07h 31m,07:00,4.2,150,52 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Muskan Tour And Travels private Limited,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:50,05h 40m,05:30,4.3,150,52 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,NueGo,Electric A/C Seater (2+2),18:00,05h 50m,23:50,3.4,150,51 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,ADTC tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:55,05h 20m,05:15,3.9,155,40 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,NueGo,Electric A/C Seater (2+2),00:05,05h 50m,05:55,3.6,150,49 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Deltin Travels Pvt Ltd,Bharat Benz A/C Seater /Sleeper (2+1),22:15,06h 45m,05:00,3.9,155,50 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:58,06h 22m,06:20,3.8,150,50 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:25,05h 55m,05:20,3.7,150,51 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,ADTC tour and Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:40,05h 30m,05:10,3.5,155,52 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Deltin Travels Pvt Ltd,Bharat Benz A/C Seater /Sleeper (2+1),22:25,06h 15m,04:40,3.7,150,50 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:59,06h 31m,06:30,3.7,150,49 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Bhawani Travels,A/C Seater / Sleeper (2+2),23:59,06h 11m,06:10,3.9,155,40 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:30,06h 00m,05:30,3.3,150,52 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Classic Travels,A/C Seater / Sleeper (2+2),23:30,07h 00m,06:30,2.4,155,42 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Travel Point,A/C Seater / Sleeper (2+2),23:25,05h 55m,05:20,1.3,155,49 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Vijay Tour and Travels,Bharat Benz A/C Sleeper (2+1),17:50,07h 40m,01:30,1.5,150,49 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Classic Travels,A/C Seater / Sleeper (2+2),23:55,07h 00m,06:55,2.3,150,52 Seats available
Ludhiana  (punjab) to Delhi Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:58,06h 52m,06:50,1.8,155,45 Seats available
Ludhiana  (punjab) to Delhi Airport Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,07h 35m,03:25,4,155,46 Seats available
Ludhiana  (punjab) to Delhi Airport Bus,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,08h 15m,04:05,4.6,300,33 Seats available
