bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0089,Ordinary Non AC Seater 2+3,16:01,07h 58m,23:59,3.3,598,22 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0119,Shatabdi AC Seater 2+2,16:16,05h 00m,21:16,3.3,450,52 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0086,Volvo AC Seater 2+2,17:01,05h 30m,22:31,4.1,449,52 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0130,Janrath AC Seater 2+3,17:31,05h 00m,22:31,2.8,598,37 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0111,Janrath AC Seater 2+2,19:01,04h 44m,23:45,4.4,598,28 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - GRH0203,Ordinary Non AC Seater 2+3,19:30,06h 30m,02:00,3.3,448,52 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - HDD0063,Ordinary Non AC Seater 2+3,19:39,05h 24m,01:03,3.3,448,52 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - GRH0274,Ordinary Non AC Seater 2+3,20:31,06h 29m,03:00,3.3,598,35 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - SRG0227,Ordinary Non AC Seater 2+3,20:33,06h 07m,02:40,3.3,454,51 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0794,Janrath AC Seater 2+2,20:40,05h 00m,01:40,3.3,598,36 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - GRH0273,Ordinary Non AC Seater 2+3,21:00,06h 30m,03:30,3.3,598,37 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BRT0007,Ordinary Non AC Seater 2+3,21:25,06h 35m,04:00,3.3,448,52 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0354,Ordinary Non AC Seater 2+3,21:27,06h 15m,03:42,3.3,598,36 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0139,Janrath AC Seater 2+2,21:31,05h 59m,03:30,2.4,598,36 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - LNI0017,Rajdhani Non AC Seater 2+3,21:31,05h 29m,03:00,3.3,598,37 Seats available
Bareilly (Uttar Pradesh) to Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - GRH0272,Ordinary Non AC Seater 2+3,21:45,06h 30m,04:15,3.3,448,52 Seats available
